Ticker,Date,Price,GG_Price,EM_Price,Composite_FV
AAPL,2026-05-16,298.21,,,
ABBV,2026-05-15,210.82,238.34,128.09,183.22
ADBE,2026-05-16,247.60,364.19,434.95,399.57
AMD,2026-05-16,449.70,490.99,95.75,293.37
BAC,2026-05-16,49.77,22.81,38.14,30.48
C,2026-05-15,124.84,,-89.60,-89.60
COST,2026-05-16,1048.95,320.84,547.35,434.10
CSCO,2026-05-15,115.53,59.35,47.55,53.45
CVX,2026-05-15,186.60,240.17,219.58,229.88
DIS,2026-05-15,105.45,96.35,110.80,103.57
F,2026-05-15,14.47,-33.35,-1.28,-17.32
FDX,2026-05-15,379.98,208.93,389.15,299.04
HCA,2026-05-15,432.70,574.16,874.54,724.35
INTC,2026-05-15,115.93,,11.00,11.00
JNJ,2026-05-16,226.71,388.33,300.58,344.45
JPM,2026-05-16,297.81,93.55,163.39,128.47
KO,2026-05-15,80.45,64.95,42.04,53.50
META,2026-05-16,614.23,502.25,1211.49,856.87
MSFT,2026-05-16,421.92,404.59,645.39,524.99
NFLX,2026-05-16,87.02,148.64,169.83,159.24
NKE,2026-04-29,45.03,40.98,64.20,52.59
NVDA,2026-05-16,225.32,171.63,262.75,217.19
PEP,2026-04-28,154.10,141.69,203.54,172.62
SNAP,2026-04-29,5.94,-10.92,-7.34,-9.13
SOFI,2026-04-19,19.43,25.73,44.36,35.05
TGT,2026-04-28,129.70,98.71,293.85,196.28
TSLA,2026-05-16,422.24,2.82,66.06,34.44
TSM,2026-04-19,370.50,8681.87,17878.94,13280.40
V,2026-05-16,315.10,,,
WMT,2026-04-19,127.50,13.57,104.51,59.04
NVDA,2026-05-17,225.32,172.41,263.96,218.19
NFLX,2026-05-17,87.02,148.64,169.83,159.24
COST,2026-05-17,1048.95,320.66,546.98,433.82
ADBE,2026-05-17,247.60,364.19,434.95,399.57
HCA,2026-05-22,392.56,573.79,874.00,723.89
AMZN,2026-05-30,270.64,86.94,319.04,202.99
GE,2026-05-30,323.76,181.80,226.47,204.13
BA,2026-06-19,222.72,,93.22,93.22
CARR,2026-06-19,71.81,39.77,37.46,38.62
ETSY,2026-06-19,73.95,24.83,48.53,36.68
COIN,2026-06-21,163.26,42.48,107.38,74.93
DOCU,2026-06-21,43.47,21.61,82.94,52.27
BABA,2026-06-21,107.06,,,
GOOGL,2026-06-23,349.68,260.47,444.72,352.60
RIOT,2026-06-23,28.63,,,
LCID,2026-06-23,5.16,,,
NIO,2026-06-23,5.05,,,
PINS,2026-06-24,19.54,,23.98,23.98
MGM,2026-06-24,46.92,,2.66,2.66
VZ,2026-06-24,46.73,39.18,64.23,51.70
UBER,2026-06-24,69.67,42.02,93.67,67.84
GM,2026-06-24,78.95,,86.55,86.55
BIDU,2026-06-24,110.14,,,
XOM,2026-06-24,139.74,142.61,160.11,151.36
BIDU,2026-06-24,110.14,,,
BIDU,2026-06-24,110.14,,,
DAL,2026-06-24,86.72,,111.34,111.34
UAL,2026-06-24,121.55,42.75,416.02,229.38
BA,2026-07-03,226.49,,93.25,93.25
CCL,2026-07-03,27.91,,,
LCID,2026-07-04,6.08,,,
DOCU,2026-07-04,45.77,21.54,82.84,52.19
RIOT,2026-07-04,22.11,,,
